"＊ Sorted by Index Futures,JGB Futures, Index Options (Put, Call), Options on 10-year JGB futures, Individual Options each in contract month numerical order.",,,,,,,,,,,
"＊ ""Theoretical price"" is used in calculating the price range of J-NET trading until 4 p.m. of the trading day.",,,,,,,,,,,
Issue Code,Issue Name,Put／Call,Contract Month,Strike Price,Settlement Price,Theoretical Price,Underlying Index,Volatility ,Interest Rate,Days until Maturity,Underlying Name
141034518,CAL_NK225_1603_14500,CAL,201603,14500,1510,1510,15915.79,42.5011,0.0755,16,Nikkei 225 
141034618,CAL_NK225_1603_14625,CAL,201603,14625,1410,1400,15915.79,41.6987,0.0755,16,Nikkei 225 
141034718,CAL_NK225_1603_14750,CAL,201603,14750,1290,1290,15915.79,40.6588,0.0755,16,Nikkei 225 
141034818,CAL_NK225_1603_14875,CAL,201603,14875,1190,1185,15915.79,39.9419,0.0755,16,Nikkei 225 
141035018,CAL_NK225_1603_15000,CAL,201603,15000,1090,1085,15915.79,39.4546,0.0755,16,Nikkei 225 
141035118,CAL_NK225_1603_15125,CAL,201603,15125,980,980,15915.79,38.1873,0.0755,16,Nikkei 225 
141035218,CAL_NK225_1603_15250,CAL,201603,15250,865,865,15915.79,35.7859,0.0755,16,Nikkei 225 
141035318,CAL_NK225_1603_15375,CAL,201603,15375,795,790,15915.79,36.6403,0.0755,16,Nikkei 225 
141035518,CAL_NK225_1603_15500,CAL,201603,15500,700,698,15915.79,35.601,0.0755,16,Nikkei 225 
141035618,CAL_NK225_1603_15625,CAL,201603,15625,595,595,15915.79,33.4542,0.0755,16,Nikkei 225 
141035718,CAL_NK225_1603_15750,CAL,201603,15750,515,513,15915.79,32.5408,0.0755,16,Nikkei 225 
141035818,CAL_NK225_1603_15875,CAL,201603,15875,435,435,15915.79,31.606,0.0755,16,Nikkei 225 
141036018,CAL_NK225_1603_16000,CAL,201603,16000,385,385,15915.79,32.3113,0.0755,16,Nikkei 225 
141036118,CAL_NK225_1603_16125,CAL,201603,16125,315,315,15915.79,31.0612,0.0755,16,Nikkei 225 
141036218,CAL_NK225_1603_16250,CAL,201603,16250,255,255,15915.79,30.0883,0.0755,16,Nikkei 225 
141036318,CAL_NK225_1603_16375,CAL,201603,16375,210,210,15915.79,29.8081,0.0755,16,Nikkei 225 
141036518,CAL_NK225_1603_16500,CAL,201603,16500,165,165,15915.79,29.0194,0.0755,16,Nikkei 225 
141036618,CAL_NK225_1603_16625,CAL,201603,16625,125,125,15915.79,28.0908,0.0755,16,Nikkei 225 
141036718,CAL_NK225_1603_16750,CAL,201603,16750,95,95,15915.79,27.5355,0.0755,16,Nikkei 225 
141036818,CAL_NK225_1603_16875,CAL,201603,16875,75,75,15915.79,27.5533,0.0755,16,Nikkei 225 
141037018,CAL_NK225_1603_17000,CAL,201603,17000,55,55,15915.79,27.0497,0.0755,16,Nikkei 225 
