公司代號    收盤價      漲停價格     跌停價格
1523            20.55        21.95        19.15
1524            17.70        18.90        16.50
15242          111.00       118.75       103.25
1525            24.85        26.55        23.15
1526             6.41         6.85         5.97
1527            48.00        51.30        44.65
1528            21.80        23.30        20.30
1529            11.90        12.70        11.10
15291          138.00       147.65       128.35
1530            78.60        84.10        73.10
1531            25.55        27.30        23.80
1532            60.00        64.20        55.80
15323          278.00       297.00       259.00
1533            39.00        41.70        36.30
1535            37.40        40.00        34.80
1536            47.50        50.80        44.20
15362          124.40       133.10       115.70
1537            40.10        42.90        37.30
1538            36.25        38.75        33.75
1539            12.40        13.25        11.55
1540            36.75        39.30        34.20
1541            19.80        21.15        18.45
15411          112.50       120.35       104.65
1560           128.00       136.50       119.50
1565           129.50       138.50       120.50
1569            35.50        37.95        33.05
15691          117.50       125.70       109.30
1570            29.00        31.00        27.00
1582           166.00       177.50       154.50
1601             8.89         9.51         8.27
1603             7.08         7.57         6.59
1604             6.57         7.02         6.12
1605            18.00        19.25        16.75
1606             9.46        10.10         8.80
1608            10.95        11.70        10.20
1609            13.95        14.90        13.00
16091          154.00       164.00       143.25
公司代號    收盤價      漲停價格     跌停價格
--------  -----------  -----------  -----------

16092          154.00       164.00       143.25
16093          154.00       164.00       143.25
1611            16.75        17.90        15.60
1612            27.80        29.70        25.90
1613             6.59         7.05         6.13
1614            22.40        23.95        20.85
1615            15.75        16.85        14.65
1616            15.15        16.20        14.10
16161          163.00       174.00       152.00
1617            11.85        12.65        11.05
16171          116.85       125.00       108.70
1618             9.65        10.30         8.98
1701            13.20        14.10        12.30
1702            10.00        10.70         9.30
1704            31.70        33.90        29.50
1707            12.60        13.45        11.75
1708            17.70        18.90        16.50
1709            14.35        15.35        13.35
1710            25.70        27.45        23.95
1711            20.00        21.40        18.60
1712            10.15        10.85         9.44
1713            17.75        18.95        16.55
1714            11.30        12.05        10.55
1715            16.15        17.25        15.05
1716            30.55        32.65        28.45
1717            56.60        60.50        52.70
1718             8.65         9.25         8.05
1720            22.70        24.25        21.15
1721             9.69        10.35         9.02
1722            62.60        66.90        58.30
1723            68.00        72.70        63.30
1724            15.20        16.25        14.15
1725            28.30        30.25        26.35
1726            59.50        63.60        55.40
1727            11.80        12.60        11.00
1729            67.60        72.30        62.90
1730            13.10        14.00        12.20
1731            14.00        14.95        13.05
1732            13.90        14.85        12.95
1733            60.00        64.20        55.80
1734            18.80        20.10        17.50
1735            15.70        16.75        14.65
1736           232.00       248.00       216.00
1737            25.80        27.60        24.00
1742            40.50        43.30        37.70
1777            35.75        38.25        33.25
1781            34.20        36.55        31.85
1785           224.00       239.50       208.50
17851          241.00       257.00       225.00
17852          158.00       169.00       146.95
1787            20.20        21.60        18.80
17871          129.50       138.55       120.45
1802            30.15        32.25        28.05
1805            12.00        12.80        11.20
1806            18.20        19.45        16.95
1807              .99         1.05          .93
1808            45.65        48.80        42.50
公司代號    收盤價      漲停價格     跌停價格
--------  -----------  -----------  -----------

1809            16.00        17.10        14.90
1810            13.60        14.55        12.65
1815            26.95        28.80        25.10
1902            10.20        10.90         9.49
19021          126.00       134.80       117.20
19022          132.00       141.20       122.80
1903            48.90        52.30        45.50
1904            13.50        14.40        12.60
1905            16.70        17.85        15.55
1906             7.80         8.34         7.26
1907            13.95        14.90        13.00
1909            16.10        17.20        15.00
2002            39.00        41.70        36.30
2002A           39.50        42.25        36.75
