＊ 指数先物、国債先物、指数オプション、国債先物オプション、有価証券オプション順で、商品ごとに限月順で表示しております。,,,,,,,,,,,
＊ 記載されているオプション商品の「理論価格」は，当該取引日の16時までの間，J-NET取引の値幅を計算する際に用いる理論価格をいいます。,,,,,,,,,,,
銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
190125518,CAL_NK225_1512_15500,CAL,201512,15500,4360,4355,19847.58,51.0016,0.13,16,日経225
140125618,CAL_NK225_1512_15625,CAL,201512,15625,4240,4235,19847.58,53.5008,0.13,16,日経225
140125718,CAL_NK225_1512_15750,CAL,201512,15750,4110,4105,19847.58,48.0502,0.13,16,日経225
140125818,CAL_NK225_1512_15875,CAL,201512,15875,3990,3985,19847.58,50.3815,0.13,16,日経225
190126018,CAL_NK225_1512_16000,CAL,201512,16000,3860,3855,19847.58,45.1314,0.13,16,日経225
140126118,CAL_NK225_1512_16125,CAL,201512,16125,3740,3735,19847.58,47.2936,0.13,16,日経225
140126218,CAL_NK225_1512_16250,CAL,201512,16250,3610,3605,19847.58,42.2427,0.13,16,日経225
140126318,CAL_NK225_1512_16375,CAL,201512,16375,3490,3485,19847.58,44.2345,0.13,16,日経225
190126518,CAL_NK225_1512_16500,CAL,201512,16500,3370,3365,19847.58,45.1987,0.13,16,日経225
140126618,CAL_NK225_1512_16625,CAL,201512,16625,3240,3235,19847.58,41.2013,0.13,16,日経225
140126718,CAL_NK225_1512_16750,CAL,201512,16750,3120,3115,19847.58,42.0431,0.13,16,日経225
140126818,CAL_NK225_1512_16875,CAL,201512,16875,2990,2985,19847.58,38.1908,0.13,16,日経225
190127018,CAL_NK225_1512_17000,CAL,201512,17000,2870,2870,19847.58,40.7405,0.13,16,日経225
140127118,CAL_NK225_1512_17125,CAL,201512,17125,2740,2735,19847.58,35.1997,0.13,16,日経225
140127218,CAL_NK225_1512_17250,CAL,201512,17250,2620,2615,19847.58,35.7891,0.13,16,日経225
140127318,CAL_NK225_1512_17375,CAL,201512,17375,2500,2495,19847.58,35.9027,0.13,16,日経225
190127518,CAL_NK225_1512_17500,CAL,201512,17500,2370,2365,19847.58,32.6823,0.13,16,日経225
140127618,CAL_NK225_1512_17625,CAL,201512,17625,2250,2245,19847.58,32.6887,0.13,16,日経225
140127718,CAL_NK225_1512_17750,CAL,201512,17750,2120,2115,19847.58,29.5821,0.13,16,日経225
140127818,CAL_NK225_1512_17875,CAL,201512,17875,2000,1995,19847.58,29.4766,0.13,16,日経225
190128018,CAL_NK225_1512_18000,CAL,201512,18000,1870,1870,19847.58,27.8689,0.13,16,日経225
140128118,CAL_NK225_1512_18125,CAL,201512,18125,1760,1755,19847.58,28.4785,0.13,16,日経225
140128218,CAL_NK225_1512_18250,CAL,201512,18250,1630,1630,19847.58,26.7705,0.13,16,日経225
140128318,CAL_NK225_1512_18375,CAL,201512,18375,1510,1505,19847.58,25.0556,0.13,16,日経225
190128518,CAL_NK225_1512_18500,CAL,201512,18500,1390,1390,19847.58,24.9778,0.13,16,日経225
